Job;Item;TL;Processing Time
100181;A83;TL173;64
100182;A107;TL24;10
100183;A57;TL147;20
100184;A135;TL106;165
100185;A26;TL117;52
100186;A147;TL72;174
100187;A123;TL4;151
100188;A8;TL135;78
100189;A58;TL92;125
100190;A187;TL78;157
100191;A28;TL32;66
100192;A146;TL159;34
100193;A206;TL182;173
100194;A143;TL39;34
100195;A89;TL28;64
100196;A108;TL115;77
100197;A165;TL210;18
100198;A37;TL9;76
100199;A19;TL212;177
100200;A210;TL133;69
100201;A143;TL39;34
100202;A211;TL194;86
100203;A77;TL152;80
100204;A175;TL170;79
100205;A202;TL201;32
100206;A95;TL93;94
100207;A203;TL197;145
100208;A183;TL19;164
100209;A219;TL18;174
100210;A155;TL154;114
100211;A191;TL131;44
100212;A199;TL52;150
100213;A154;TL181;36
100214;A212;TL82;103
100215;A42;TL164;144
100216;A7;TL85;137
100217;A80;TL204;156
100218;A172;TL71;60
100219;A168;TL149;161
100220;A70;TL44;22
100221;A145;TL132;45
100222;A81;TL123;41
100223;A207;TL176;14
100224;A163;TL169;147
100225;A25;TL139;133
100226;A150;TL100;144
100227;A123;TL4;151
100228;A165;TL210;18
100229;A101;TL126;94
100230;A13;TL77;105
100231;A118;TL119;55
100232;A187;TL78;157
100233;A208;TL81;159
100234;A134;TL20;32
100235;A145;TL132;45
100236;A76;TL67;83
100237;A101;TL126;94
100238;A5;TL2;147
100239;A34;TL167;78
100240;A2;TL111;49
100241;A182;TL48;98
100242;A23;TL144;111
100243;A86;TL203;159
100244;A206;TL182;173
100245;A200;TL35;171
100246;A49;TL151;129
100247;A132;TL43;112
100248;A53;TL183;157
100249;A201;TL178;69
100250;A7;TL85;137
100251;A33;TL116;4
100252;A54;TL40;44
100253;A142;TL47;97
100254;A22;TL155;30
100255;A67;TL21;120
100256;A197;TL146;18
100257;A42;TL164;144
100258;A186;TL145;78
100259;A191;TL131;44
100260;A56;TL207;73
100261;A218;TL17;51
100262;A123;TL4;151
100263;A47;TL208;73
100264;A58;TL92;125
100265;A87;TL70;55
100266;A33;TL116;4
100267;A162;TL66;25
100268;A2;TL111;49
100269;A136;TL110;160
100270;A27;TL55;51
100271;A2;TL111;49
100272;A1;TL140;76
100273;A118;TL119;55
100274;A142;TL47;97
100275;A148;TL171;148
100276;A92;TL38;36
100277;A33;TL116;4
100278;A2;TL111;49
100279;A104;TL186;160
100280;A67;TL21;120
100281;A158;TL134;75
100282;A143;TL39;34
100283;A127;TL185;37
100284;A143;TL39;34
100285;A90;TL162;173
100286;A101;TL126;94
100287;A61;TL30;149
100288;A86;TL203;159
100289;A165;TL210;18
100290;A140;TL202;52
100291;A51;TL65;31
100292;A62;TL157;179
100293;A104;TL186;160
100294;A190;TL101;164
100295;A47;TL208;73
100296;A40;TL143;101
100297;A15;TL26;175
100298;A140;TL202;52
100299;A180;TL76;46
100300;A150;TL100;144
100301;A160;TL74;22
100302;A29;TL80;64
100303;A36;TL54;141
100304;A39;TL120;112
100305;A214;TL192;56
100306;A185;TL205;14
100307;A156;TL187;163
100308;A32;TL156;80
100309;A133;TL11;131
100310;A123;TL4;151
100311;A136;TL110;160
100312;A210;TL133;69
100313;A66;TL206;118
100314;A79;TL138;48
100315;A180;TL76;46
100316;A182;TL48;98
100317;A6;TL88;8
100318;A79;TL138;48
100319;A204;TL34;109
100320;A50;TL114;105
100321;A20;TL121;50
100322;A26;TL117;52
100323;A78;TL83;68
100324;A158;TL134;75
100325;A86;TL203;159
100326;A202;TL201;32
100327;A24;TL12;148
100328;A143;TL39;34
100329;A186;TL145;78
100330;A96;TL63;109
100331;A190;TL101;164
100332;A186;TL145;78
100333;A86;TL203;159
100334;A138;TL96;169
100335;A129;TL7;146
100336;A134;TL20;32
100337;A209;TL43;67
100338;A40;TL143;101
100339;A10;TL175;80
100340;A179;TL69;44
100341;A22;TL155;30
100342;A112;TL15;53
100343;A50;TL114;105
100344;A131;TL158;178
100345;A40;TL143;101
100346;A2;TL111;49
100347;A78;TL83;68
100348;A151;TL41;98
100349;A138;TL96;169
100350;A54;TL40;44
100351;A78;TL83;68
100352;A89;TL28;64
100353;A77;TL152;80
100354;A96;TL63;109
100355;A112;TL15;53
100356;A200;TL35;171
100357;A52;TL166;24
100358;A21;TL33;89
100359;A44;TL160;80
100360;A170;TL5;4
100361;A181;TL37;11
100362;A88;TL73;28
100363;A201;TL178;69
100364;A75;TL29;35
100365;A135;TL106;165
100366;A175;TL170;79
100367;A200;TL35;171
100368;A166;TL84;40
100369;A60;TL122;6
100370;A58;TL92;125
100371;A181;TL37;11
100372;A174;TL153;66
100373;A57;TL147;20
100374;A104;TL186;160
100375;A88;TL73;28
100376;A64;TL179;66
100377;A168;TL149;161
100378;A213;TL196;169
100379;A159;TL141;115
100380;A28;TL32;66
100381;A143;TL39;34
100382;A30;TL8;132
100383;A23;TL144;111
100384;A205;TL51;87
100385;A153;TL199;47
100386;A109;TL108;60
100387;A215;TL59;132
100388;A183;TL19;164
100389;A134;TL20;32
100390;A83;TL173;64
100391;A100;TL86;137
100392;A120;TL10;39
100393;A87;TL70;55
100394;A13;TL77;105
100395;A69;TL113;126
100396;A99;TL209;33
100397;A14;TL111;156
100398;A35;TL23;97
100399;A7;TL85;137
100400;A39;TL120;112
100401;A85;TL53;135
100402;A71;TL107;86
100403;A144;TL90;22
100404;A81;TL123;41
100405;A181;TL37;11
100406;A115;TL95;103
100407;A215;TL59;132
100408;A128;TL200;96
100409;A48;TL14;157
100410;A79;TL138;48
100411;A23;TL144;111
100412;A10;TL175;80
100413;A111;TL188;172
100414;A43;TL142;156
100415;A56;TL207;73
100416;A100;TL86;137
100417;A93;TL38;5
100418;A24;TL12;148
100419;A77;TL152;80
100420;A36;TL54;141
100421;A115;TL95;103
100422;A96;TL63;109
100423;A138;TL96;169
100424;A205;TL51;87
100425;A38;TL87;15
100426;A170;TL5;4
100427;A81;TL123;41
100428;A107;TL24;10
100429;A182;TL48;98
100430;A202;TL201;32
100431;A74;TL163;93
100432;A119;TL56;129
100433;A216;TL195;152
100434;A156;TL187;163
100435;A128;TL200;96
100436;A10;TL175;80
100437;A186;TL145;78
100438;A98;TL102;115
100439;A192;TL198;66
100440;A173;TL50;20
100441;A14;TL111;156
100442;A112;TL15;53
100443;A169;TL13;119
100444;A7;TL85;137
100445;A57;TL147;20
100446;A28;TL32;66
100447;A42;TL164;144
100448;A184;TL94;75
100449;A153;TL199;47
100450;A143;TL39;34
100451;A94;TL130;170
100452;A68;TL165;8
100453;A199;TL52;150
100454;A21;TL33;89
100455;A185;TL205;14
100456;A141;TL125;97
100457;A2;TL111;49
100458;A76;TL67;83
100459;A57;TL147;20
100460;A194;TL98;74
100461;A44;TL160;80
100462;A9;TL36;130
100463;A62;TL157;179
100464;A139;TL99;164
100465;A128;TL200;96
100466;A91;TL174;110
100467;A216;TL195;152
100468;A198;TL137;30
100469;A38;TL87;15
100470;A176;TL128;125
100471;A141;TL125;97
100472;A189;TL62;90
100473;A207;TL176;14
100474;A27;TL55;51
100475;A215;TL59;132
100476;A26;TL117;52
100477;A187;TL78;157
100478;A66;TL206;118
100479;A125;TL211;88
100480;A6;TL88;8
100481;A105;TL109;140
100482;A118;TL119;55
100483;A211;TL194;86
100484;A79;TL138;48
100485;A218;TL17;51
100486;A119;TL56;129
100487;A94;TL130;170
100488;A142;TL47;97
100489;A92;TL38;36
100490;A203;TL197;145
100491;A168;TL149;161
100492;A191;TL131;44
100493;A43;TL142;156
100494;A69;TL113;126
100495;A49;TL151;129
100496;A13;TL77;105
100497;A142;TL47;97
100498;A30;TL8;132
100499;A127;TL185;37
100500;A132;TL43;112
100501;A85;TL53;135
100502;A167;TL58;155
100503;A204;TL34;109
100504;A2;TL111;49
100505;A159;TL141;115
100506;A79;TL138;48
100507;A53;TL183;157
100508;A186;TL145;78
100509;A62;TL157;179
100510;A91;TL174;110
100511;A108;TL115;77
100512;A74;TL163;93
100513;A16;TL91;160
100514;A184;TL94;75
100515;A161;TL111;5
100516;A53;TL183;157
100517;A18;TL27;60
100518;A149;TL97;179
100519;A193;TL148;151
100520;A65;TL79;51
100521;A27;TL55;51
100522;A65;TL79;51
100523;A63;TL191;105
100524;A204;TL34;109
100525;A54;TL40;44
100526;A146;TL159;34
100527;A208;TL81;159
100528;A107;TL24;10
100529;A53;TL183;157
100530;A170;TL5;4
100531;A39;TL120;112
100532;A186;TL145;78
100533;A53;TL183;157
100534;A59;TL186;80
100535;A91;TL174;110
100536;A9;TL36;130
100537;A169;TL13;119
100538;A65;TL79;51
100539;A217;TL6;14
100540;A59;TL186;80
100541;A182;TL48;98
100542;A16;TL91;160
100543;A136;TL110;160
100544;A157;TL127;31
100545;A115;TL95;103
100546;A10;TL175;80
100547;A122;TL168;138
100548;A157;TL127;31
100549;A102;TL161;160
100550;A36;TL54;141
100551;A175;TL170;79
100552;A100;TL86;137
100553;A160;TL74;22
100554;A132;TL43;112
100555;A3;TL31;75
100556;A148;TL171;148
100557;A143;TL39;34
100558;A78;TL83;68
100559;A199;TL52;150
100560;A93;TL38;5
100561;A22;TL155;30
100562;A115;TL95;103
100563;A107;TL24;10
100564;A44;TL160;80
100565;A83;TL173;64
100566;A195;TL16;142
100567;A51;TL65;31
100568;A23;TL144;111
100569;A75;TL29;35
100570;A194;TL98;74
100571;A23;TL144;111
100572;A120;TL10;39
100573;A6;TL88;8
100574;A19;TL212;177
100575;A125;TL211;88
100576;A156;TL187;163
100577;A123;TL4;151
100578;A103;TL103;21
100579;A182;TL48;98
100580;A106;TL193;142
100581;A50;TL114;105
100582;A97;TL49;36
100583;A147;TL72;174
100584;A110;TL177;17
100585;A181;TL37;11
100586;A175;TL170;79
100587;A196;TL57;154
100588;A33;TL116;4
100589;A123;TL4;151
100590;A182;TL48;98
100591;A173;TL50;20
100592;A107;TL24;10
100593;A13;TL77;105
100594;A130;TL4;153
100595;A35;TL23;97
100596;A139;TL99;164
100597;A167;TL58;155
100598;A179;TL69;44
100599;A47;TL208;73
100600;A41;TL42;128
100601;A24;TL12;148
100602;A134;TL20;32
100603;A64;TL179;66
100604;A81;TL123;41
100605;A152;TL189;105
100606;A30;TL8;132
100607;A99;TL209;33
100608;A148;TL171;148
100609;A58;TL92;125
100610;A112;TL15;53
100611;A66;TL206;118
100612;A165;TL210;18
100613;A151;TL41;98
100614;A148;TL171;148
100615;A195;TL16;142
100616;A191;TL131;44
100617;A182;TL48;98
100618;A90;TL162;173
100619;A90;TL162;173
100620;A27;TL55;51
100621;A23;TL144;111
100622;A182;TL48;98
100623;A143;TL39;34
100624;A115;TL95;103
100625;A148;TL171;148
100626;A183;TL19;164
100627;A169;TL13;119
100628;A4;TL150;26
100629;A75;TL29;35
100630;A67;TL21;120
100631;A73;TL184;154
100632;A49;TL151;129
100633;A173;TL50;20
100634;A15;TL26;175
100635;A209;TL43;67
100636;A161;TL111;5
100637;A170;TL5;4
100638;A137;TL64;111
100639;A47;TL208;73
100640;A169;TL13;119
100641;A104;TL186;160
100642;A214;TL192;56
100643;A101;TL126;94
100644;A123;TL4;151
100645;A115;TL95;103
100646;A177;TL136;29
100647;A67;TL21;120
100648;A166;TL84;40
100649;A141;TL125;97
100650;A29;TL80;64
100651;A38;TL87;15
100652;A67;TL21;120
100653;A119;TL56;129
100654;A188;TL22;53
100655;A178;TL105;141
100656;A93;TL38;5
100657;A77;TL152;80
100658;A144;TL90;22
100659;A190;TL101;164
100660;A207;TL176;14
100661;A19;TL212;177
100662;A128;TL200;96
100663;A62;TL157;179
100664;A113;TL118;12
100665;A152;TL189;105
100666;A74;TL163;93
100667;A68;TL165;8
100668;A106;TL193;142
100669;A180;TL76;46
100670;A201;TL178;69
100671;A31;TL60;127
100672;A213;TL196;169
100673;A105;TL109;140
100674;A104;TL186;160
100675;A41;TL42;128
100676;A31;TL60;127
100677;A103;TL103;21
100678;A31;TL60;127
100679;A158;TL134;75
100680;A192;TL198;66
100681;A179;TL69;44
100682;A16;TL91;160
100683;A168;TL149;161
100684;A86;TL203;159
100685;A142;TL47;97
100686;A84;TL104;37
100687;A144;TL90;22
100688;A137;TL64;111
100689;A101;TL126;94
100690;A69;TL113;126
100691;A13;TL77;105
100692;A201;TL178;69
100693;A167;TL58;155
100694;A121;TL195;48
100695;A121;TL195;48
100696;A76;TL67;83
100697;A54;TL40;44
100698;A202;TL201;32
100699;A143;TL39;34
100700;A84;TL104;37
100701;A45;TL190;124
100702;A11;TL75;25
100703;A170;TL5;4
100704;A209;TL43;67
100705;A194;TL98;74
100706;A122;TL168;138
100707;A169;TL13;119
100708;A60;TL122;6
100709;A187;TL78;157
100710;A40;TL143;101
100711;A160;TL74;22
100712;A191;TL131;44
100713;A35;TL23;97
100714;A140;TL202;52
100715;A150;TL100;144
100716;A163;TL169;147
100717;A45;TL190;124
100718;A76;TL67;83
100719;A145;TL132;45
100720;A12;TL25;46
100721;A173;TL50;20
100722;A170;TL5;4
100723;A126;TL46;81
100724;A152;TL189;105
100725;A10;TL175;80
100726;A40;TL143;101
100727;A219;TL18;174
100728;A29;TL80;64
100729;A24;TL12;148
100730;A203;TL197;145
100731;A164;TL89;9
100732;A79;TL138;48
100733;A116;TL61;154
100734;A114;TL129;98
100735;A189;TL62;90
100736;A144;TL90;22
100737;A69;TL113;126
100738;A169;TL13;119
100739;A93;TL38;5
100740;A130;TL4;153
100741;A114;TL129;98
100742;A47;TL208;73
100743;A66;TL206;118
100744;A88;TL73;28
100745;A23;TL144;111
100746;A38;TL87;15
100747;A2;TL111;49
100748;A214;TL192;56
100749;A201;TL178;69
100750;A204;TL34;109
100751;A111;TL188;172
100752;A94;TL130;170
100753;A136;TL110;160
100754;A68;TL165;8
100755;A134;TL20;32
100756;A48;TL14;157
100757;A40;TL143;101
100758;A149;TL97;179
100759;A177;TL136;29
100760;A198;TL137;30
100761;A207;TL176;14
100762;A79;TL138;48
100763;A162;TL66;25
100764;A68;TL165;8
100765;A208;TL81;159
100766;A116;TL61;154
100767;A13;TL77;105
100768;A182;TL48;98
100769;A198;TL137;30
100770;A169;TL13;119
100771;A70;TL44;22
100772;A21;TL33;89
100773;A118;TL119;55
100774;A104;TL186;160
100775;A184;TL94;75
100776;A89;TL28;64
100777;A135;TL106;165
100778;A193;TL148;151
100779;A53;TL183;157
100780;A17;TL112;42
100781;A198;TL137;30
100782;A197;TL146;18
100783;A215;TL59;132
100784;A188;TL22;53
100785;A135;TL106;165
100786;A166;TL84;40
100787;A200;TL35;171
100788;A79;TL138;48
100789;A99;TL209;33
100790;A141;TL125;97
100791;A182;TL48;98
100792;A214;TL192;56
100793;A60;TL122;6
100794;A55;TL172;68
100795;A5;TL2;147
100796;A127;TL185;37
100797;A100;TL86;137
100798;A214;TL192;56
100799;A80;TL204;156
100800;A197;TL146;18
100801;A199;TL52;150
100802;A151;TL41;98
100803;A43;TL142;156
100804;A162;TL66;25
100805;A22;TL155;30
100806;A15;TL26;175
100807;A8;TL135;78
100808;A194;TL98;74
100809;A144;TL90;22
100810;A22;TL155;30
100811;A120;TL10;39
100812;A160;TL74;22
100813;A49;TL151;129
100814;A62;TL157;179
100815;A150;TL100;144
100816;A33;TL116;4
100817;A140;TL202;52
100818;A29;TL80;64
100819;A169;TL13;119
100820;A5;TL2;147
100821;A109;TL108;60
100822;A145;TL132;45
100823;A149;TL97;179
100824;A168;TL149;161
100825;A17;TL112;42
100826;A99;TL209;33
100827;A39;TL120;112
100828;A100;TL86;137
100829;A131;TL158;178
100830;A17;TL112;42
100831;A180;TL76;46
100832;A140;TL202;52
100833;A130;TL4;153
100834;A123;TL4;151
100835;A26;TL117;52
100836;A213;TL196;169
100837;A120;TL10;39
100838;A185;TL205;14
100839;A122;TL168;138
100840;A184;TL94;75
100841;A165;TL210;18
100842;A166;TL84;40
100843;A117;TL124;30
100844;A90;TL162;173
100845;A147;TL72;174
100846;A115;TL95;103
100847;A101;TL126;94
100848;A217;TL6;14
100849;A75;TL29;35
100850;A48;TL14;157
100851;A153;TL199;47
100852;A203;TL197;145
100853;A143;TL39;34
100854;A103;TL103;21
100855;A211;TL194;86
100856;A209;TL43;67
100857;A104;TL186;160
100858;A15;TL26;175
100859;A218;TL17;51
100860;A10;TL175;80
100861;A165;TL210;18
100862;A6;TL88;8
100863;A218;TL17;51
100864;A12;TL25;46
100865;A201;TL178;69
100866;A188;TL22;53
100867;A103;TL103;21
100868;A156;TL187;163
100869;A168;TL149;161
100870;A33;TL116;4
100871;A173;TL50;20
100872;A20;TL121;50
100873;A35;TL23;97
100874;A89;TL28;64
100875;A212;TL82;103
100876;A51;TL65;31
100877;A156;TL187;163
100878;A165;TL210;18
100879;A62;TL157;179
100880;A129;TL7;146
100881;A5;TL2;147
100882;A119;TL56;129
100883;A69;TL113;126
100884;A153;TL199;47
100885;A16;TL91;160
100886;A211;TL194;86
100887;A123;TL4;151
100888;A122;TL168;138
100889;A28;TL32;66
100890;A37;TL9;76
100891;A207;TL176;14
100892;A55;TL172;68
100893;A161;TL111;5
100894;A186;TL145;78
100895;A65;TL79;51
100896;A127;TL185;37
100897;A39;TL120;112
100898;A150;TL100;144
100899;A97;TL49;36
100900;A73;TL184;154
100901;A170;TL5;4
100902;A149;TL97;179
100903;A124;TL180;125
100904;A71;TL107;86
100905;A30;TL8;132
100906;A151;TL41;98
100907;A179;TL69;44
100908;A166;TL84;40
100909;A112;TL15;53
100910;A73;TL184;154
100911;A72;TL68;136
100912;A16;TL91;160
100913;A200;TL35;171
100914;A66;TL206;118
100915;A94;TL130;170
100916;A84;TL104;37
100917;A69;TL113;126
100918;A16;TL91;160
100919;A61;TL30;149
100920;A41;TL42;128
100921;A110;TL177;17
100922;A70;TL44;22
100923;A200;TL35;171
100924;A29;TL80;64
100925;A36;TL54;141
100926;A99;TL209;33
100927;A90;TL162;173
100928;A23;TL144;111
100929;A72;TL68;136
100930;A83;TL173;64
100931;A12;TL25;46
100932;A153;TL199;47
100933;A209;TL43;67
100934;A71;TL107;86
100935;A211;TL194;86
100936;A71;TL107;86
100937;A68;TL165;8
100938;A215;TL59;132
100939;A58;TL92;125
100940;A66;TL206;118
100941;A198;TL137;30
100942;A100;TL86;137
100943;A118;TL119;55
100944;A46;TL62;72
100945;A36;TL54;141
100946;A202;TL201;32
100947;A185;TL205;14
100948;A136;TL110;160
100949;A76;TL67;83
100950;A217;TL6;14
100951;A98;TL102;115
100952;A115;TL95;103
100953;A17;TL112;42
100954;A18;TL27;60
100955;A4;TL150;26
100956;A173;TL50;20
100957;A174;TL153;66
100958;A149;TL97;179
100959;A137;TL64;111
100960;A87;TL70;55
100961;A196;TL57;154
100962;A29;TL80;64
100963;A148;TL171;148
100964;A171;TL3;90
100965;A109;TL108;60
100966;A19;TL212;177
100967;A57;TL147;20
100968;A93;TL38;5
100969;A28;TL32;66
100970;A115;TL95;103
100971;A134;TL20;32
100972;A191;TL131;44
100973;A177;TL136;29
100974;A168;TL149;161
100975;A143;TL39;34
100976;A192;TL198;66
100977;A117;TL124;30
100978;A170;TL5;4
100979;A47;TL208;73
100980;A48;TL14;157
100981;A20;TL121;50
100982;A48;TL14;157
100983;A114;TL129;98
100984;A13;TL77;105
100985;A169;TL13;119
100986;A165;TL210;18
100987;A105;TL109;140
100988;A164;TL89;9
100989;A119;TL56;129
100990;A205;TL51;87
100991;A12;TL25;46
100992;A195;TL16;142
100993;A70;TL44;22
100994;A140;TL202;52
100995;A103;TL103;21
100996;A128;TL200;96
100997;A196;TL57;154
100998;A186;TL145;78
100999;A55;TL172;68
