Job;Operation;ToolSet;Processing Time
302;123;2364;152
303;116;1804;73
304;64;3172;78
305;136;1912;176
306;42;422;157
307;15;283;39
308;60;1952;39
309;83;1562;15
310;26;2115;29
311;69;1009;149
312;37;1083;139
313;14;1744;123
314;94;55;60
315;75;1008;81
316;82;2672;121
317;111;1999;98
318;9;1291;84
319;13;1265;71
320;43;1624;45
321;146;547;125
322;140;278;139
323;68;1413;44
324;23;2590;29
325;58;1912;23
326;34;959;150
327;35;1192;120
328;69;1009;149
329;47;2850;136
330;74;2360;36
331;128;1748;131
332;25;2954;4
333;105;157;62
334;56;3137;136
335;78;1517;94
336;73;665;33
337;41;1489;101
338;76;475;55
339;22;2459;57
340;80;187;176
341;127;37;100
342;88;2534;174
343;35;1192;120
344;89;1115;109
345;96;1127;161
346;75;1008;81
347;85;439;172
348;108;580;124
349;89;1115;109
350;46;1710;27
351;114;586;62
352;25;2954;4
353;101;2516;144
354;34;959;150
355;27;2529;62
356;3;124;88
357;57;136;99
358;23;2590;29
359;14;1744;123
360;54;1904;77
361;120;2323;164
362;111;1999;98
363;19;2119;96
364;96;1127;161
365;145;2303;166
366;54;1904;77
367;44;434;164
368;107;2362;14
369;112;1965;39
370;7;3186;61
371;128;1748;131
372;154;527;96
373;6;6;151
374;97;2921;60
375;18;2763;32
376;98;1526;66
377;85;439;172
378;97;2921;60
379;139;1530;137
380;62;2062;12
381;76;475;55
382;124;377;76
383;148;1974;36
384;79;3286;162
385;1;3150;68
386;109;1343;156
387;62;2062;12
388;79;3286;162
389;126;1899;21
390;86;1890;137
391;125;2474;90
392;138;1863;131
393;16;1253;30
394;57;136;99
395;102;1537;131
396;18;2763;32
397;75;1008;81
398;24;524;115
399;73;665;33
400;44;434;164
401;31;1030;89
402;154;527;96
403;92;1683;143
404;120;2323;164
405;79;3286;162
406;124;377;76
407;13;1265;71
408;149;2349;78
409;114;586;62
410;55;1872;180
411;102;1537;131
412;39;846;52
413;73;665;33
414;33;2409;148
415;44;434;164
416;99;2945;150
417;27;2529;62
418;86;1890;137
419;48;1111;73
420;128;1748;131
421;8;552;114
422;28;2886;65
423;105;157;62
424;72;2403;105
425;85;439;172
426;116;1804;73
427;37;1083;139
428;144;2281;69
429;37;1083;139
430;128;1748;131
431;60;1952;39
432;81;3024;91
433;4;319;76
434;16;1253;30
435;79;3286;162
436;148;1974;36
437;56;3137;136
438;116;1804;73
439;37;1083;139
440;59;197;88
441;34;959;150
442;59;197;88
443;54;1904;77
444;91;1873;172
445;60;1952;39
446;148;1974;36
447;9;1291;84
448;39;846;52
449;87;1312;175
450;2;782;152
451;95;1130;83
452;66;1886;148
453;17;473;121
454;57;136;99
455;120;2323;164
456;7;3186;61
457;9;1291;84
458;129;971;77
459;69;1009;149
460;143;407;97
461;52;1658;172
462;63;2487;63
463;130;528;12
464;138;1863;131
465;71;1946;49
466;10;1260;155
467;103;610;44
468;107;2362;14
469;101;2516;144
470;66;1886;148
471;29;2049;77
472;66;1886;148
473;2;782;152
474;70;389;44
475;31;1030;89
476;74;2360;36
477;14;1744;123
478;109;1343;156
479;87;1312;175
480;104;1478;72
481;116;1804;73
482;51;559;41
483;139;1530;137
484;2;782;152
485;86;1890;137
486;118;2994;87
487;120;2323;164
488;113;1738;27
489;130;528;12
490;27;2529;62
491;4;319;76
492;94;55;60
493;70;389;44
494;73;665;33
495;5;1745;83
496;12;1250;169
497;76;475;55
498;62;2062;12
499;98;1526;66
500;38;2418;42
501;34;959;150
502;148;1974;36
503;11;1612;98
504;134;2517;180
505;81;3024;91
506;144;2281;69
507;129;971;77
508;41;1489;101
509;11;1612;98
510;79;3286;162
511;9;1291;84
512;73;665;33
513;69;1009;149
514;71;1946;49
515;91;1873;172
516;144;2281;69
517;22;2459;57
518;132;1893;109
519;19;2119;96
520;120;2323;164
521;3;124;88
522;32;2315;4
523;27;2529;62
524;29;2049;77
525;120;2323;164
526;67;550;168
527;100;1052;134
528;147;188;22
529;99;2945;150
530;95;1130;83
531;15;283;39
532;93;3337;21
533;102;1537;131
534;16;1253;30
535;125;2474;90
536;75;1008;81
537;68;1413;44
538;24;524;115
539;16;1253;30
540;30;630;104
541;133;1864;87
542;32;2315;4
543;37;1083;139
544;29;2049;77
545;78;1517;94
546;29;2049;77
547;54;1904;77
548;14;1744;123
549;96;1127;161
550;29;2049;77
551;22;2459;57
552;106;147;121
553;128;1748;131
554;99;2945;150
555;107;2362;14
556;65;2574;77
557;154;527;96
558;132;1893;109
559;26;2115;29
560;84;3462;60
561;103;610;44
562;44;434;164
563;109;1343;156
564;59;197;88
565;88;2534;174
566;130;528;12
567;132;1893;109
568;154;527;96
569;87;1312;175
570;6;6;151
571;127;37;100
572;130;528;12
573;103;610;44
574;66;1886;148
575;24;524;115
576;16;1253;30
577;64;3172;78
578;117;336;34
579;61;2608;170
580;98;1526;66
581;17;473;121
582;148;1974;36
583;120;2323;164
584;127;37;100
585;48;1111;73
586;94;55;60
587;136;1912;176
588;1;3150;68
589;140;278;139
590;95;1130;83
591;145;2303;166
592;148;1974;36
593;34;959;150
594;109;1343;156
595;19;2119;96
596;110;707;66
597;96;1127;161
598;123;2364;152
599;20;2218;84
600;61;2608;170
601;111;1999;98
602;135;740;24
603;47;2850;136
604;107;2362;14
605;61;2608;170
606;105;157;62
607;51;559;41
608;19;2119;96
609;18;2763;32
610;145;2303;166
611;132;1893;109
612;1;3150;68
613;4;319;76
614;31;1030;89
615;19;2119;96
616;77;125;81
617;143;407;97
618;146;547;125
619;81;3024;91
620;91;1873;172
621;4;319;76
622;65;2574;77
623;143;407;97
624;144;2281;69
625;87;1312;175
626;98;1526;66
627;75;1008;81
628;83;1562;15
629;99;2945;150
630;129;971;77
631;84;3462;60
632;22;2459;57
633;50;1198;34
634;120;2323;164
635;129;971;77
636;137;2552;53
637;57;136;99
638;21;1433;50
639;89;1115;109
640;133;1864;87
641;66;1886;148
642;154;527;96
643;2;782;152
644;98;1526;66
645;148;1974;36
646;92;1683;143
647;63;2487;63
648;54;1904;77
649;69;1009;149
650;10;1260;155
651;99;2945;150
652;9;1291;84
653;62;2062;12
654;39;846;52
655;116;1804;73
656;84;3462;60
657;15;283;39
658;38;2418;42
659;103;610;44
660;18;2763;32
661;19;2119;96
662;70;389;44
663;109;1343;156
664;110;707;66
665;93;3337;21
666;95;1130;83
667;45;566;51
668;15;283;39
669;84;3462;60
670;131;921;147
671;81;3024;91
672;94;55;60
673;41;1489;101
674;90;2464;153
675;113;1738;27
676;83;1562;15
677;92;1683;143
678;139;1530;137
679;140;278;139
680;5;1745;83
681;17;473;121
682;15;283;39
683;17;473;121
684;36;132;165
685;124;377;76
686;115;2134;115
687;91;1873;172
688;60;1952;39
689;109;1343;156
690;38;2418;42
691;57;136;99
692;106;147;121
693;138;1863;131
694;72;2403;105
695;105;157;62
696;59;197;88
697;109;1343;156
698;42;422;157
699;41;1489;101
700;49;558;93
701;16;1253;30
702;65;2574;77
703;97;2921;60
704;71;1946;49
705;69;1009;149
706;83;1562;15
707;84;3462;60
708;52;1658;172
709;131;921;147
710;12;1250;169
711;137;2552;53
712;3;124;88
713;33;2409;148
714;3;124;88
715;18;2763;32
716;96;1127;161
717;76;475;55
718;34;959;150
719;139;1530;137
720;88;2534;174
721;42;422;157
722;103;610;44
723;3;124;88
724;17;473;121
725;68;1413;44
726;123;2364;152
727;140;278;139
728;104;1478;72
729;136;1912;176
730;114;586;62
731;26;2115;29
732;102;1537;131
733;30;630;104
734;17;473;121
735;69;1009;149
736;9;1291;84
737;30;630;104
738;79;3286;162
739;73;665;33
740;114;586;62
741;25;2954;4
742;20;2218;84
743;59;197;88
744;118;2994;87
745;48;1111;73
746;49;558;93
747;113;1738;27
748;80;187;176
749;111;1999;98
