Job;Item;TL;Processing Time
100139;A32;TL3266;89
100140;A32;TL3266;89
100141;A12;TL89;74
100142;A17;TL148;165
100143;A6;TL3238;92
100144;A37;TL2413;4
100145;A23;TL1707;101
100146;A3;TL1574;34
100147;A3;TL1574;34
100148;A28;TL1087;54
100149;A6;TL3238;92
100150;A7;TL3173;122
100151;A10;TL3396;130
100152;A20;TL2772;18
100153;A46;TL925;50
100154;A4;TL461;168
100155;A50;TL969;95
100156;A14;TL1354;138
100157;A43;TL1694;53
100158;A28;TL1087;54
100159;A27;TL16;152
100160;A37;TL2413;4
100161;A49;TL511;61
100162;A1;TL2350;19
100163;A12;TL89;74
100164;A4;TL461;168
100165;A47;TL3320;11
100166;A9;TL197;150
100167;A34;TL2119;160
100168;A1;TL2350;19
100169;A32;TL3266;89
100170;A7;TL3173;122
100171;A11;TL564;134
100172;A26;TL3245;59
100173;A40;TL85;41
100174;A5;TL566;45
100175;A39;TL132;39
100176;A37;TL2413;4
100177;A11;TL564;134
100178;A26;TL3245;59
100179;A14;TL1354;138
100180;A32;TL3266;89
100181;A13;TL102;113
100182;A43;TL1694;53
100183;A45;TL636;4
100184;A24;TL3272;147
100185;A4;TL461;168
100186;A28;TL1087;54
100187;A36;TL111;174
100188;A18;TL2870;114
100189;A43;TL1694;53
100190;A8;TL3408;166
100191;A13;TL102;113
100192;A45;TL636;4
100193;A14;TL1354;138
100194;A30;TL2200;65
100195;A43;TL1694;53
100196;A5;TL566;45
100197;A2;TL2012;117
100198;A37;TL2413;4
100199;A50;TL969;95
100200;A22;TL62;158
100201;A23;TL1707;101
100202;A11;TL564;134
100203;A11;TL564;134
100204;A32;TL3266;89
100205;A18;TL2870;114
100206;A39;TL132;39
100207;A12;TL89;74
100208;A23;TL1707;101
100209;A32;TL3266;89
100210;A24;TL3272;147
100211;A1;TL2350;19
100212;A18;TL2870;114
100213;A15;TL2226;106
100214;A46;TL925;50
100215;A10;TL3396;130
100216;A37;TL2413;4
100217;A6;TL3238;92
100218;A28;TL1087;54
100219;A4;TL461;168
100220;A47;TL3320;11
100221;A20;TL2772;18
100222;A17;TL148;165
100223;A23;TL1707;101
100224;A38;TL196;16
100225;A15;TL2226;106
100226;A33;TL2076;28
100227;A36;TL111;174
100228;A21;TL3263;168
100229;A44;TL2967;106
100230;A45;TL636;4
100231;A44;TL2967;106
100232;A39;TL132;39
100233;A21;TL3263;168
100234;A23;TL1707;101
100235;A1;TL2350;19
100236;A41;TL2058;178
100237;A29;TL2993;168
100238;A22;TL62;158
100239;A19;TL486;53
100240;A27;TL16;152
100241;A7;TL3173;122
100242;A2;TL2012;117
100243;A4;TL461;168
100244;A26;TL3245;59
100245;A48;TL469;17
100246;A40;TL85;41
100247;A24;TL3272;147
100248;A42;TL3224;25
100249;A20;TL2772;18
